geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
3983,160101,7,Selva,2,De 100 000 a 499 999 habitantes,-3.75571955,-73.257171068,96.0382643305
3984,160305,7,Selva,5,De 2 000 a 19 999 habitantes,-4.71078832,-74.940357178,105.778807798
3985,160201,7,Selva,3,De 50 000 a 99 999 habitantes,-5.904867275,-76.104148869,143.605855709
3986,160606,7,Selva,5,De 2 000 a 19 999 habitantes,-6.90532954,-75.158378593,131.983405769
3987,160201,7,Selva,3,De 50 000 a 99 999 habitantes,-5.887723858,-76.12061375,137.371631442
3988,160605,7,Selva,5,De 2 000 a 19 999 habitantes,-6.561606917,-75.173624649,124.0
3989,160706,7,Selva,6,De 500 a 1 999 habitantes,-2.8030494,-76.4628967,224.668926943
3990,160110,7,Selva,7,Área de Empadronamiento Rural compuesto,-1.566826667,-74.611663333,168.0
3991,160110,7,Selva,7,Área de Empadronamiento Rural compuesto,-1.75685,-74.689031667,151.0
3992,160107,7,Selva,8,Área de Empadronamiento Rural simple,-2.022478333,-74.447536667,141.0
3993,160107,7,Selva,8,Área de Empadronamiento Rural simple,-2.141621667,-74.131155,144.0
3994,160108,7,Selva,8,Área de Empadronamiento Rural simple,-3.529463334,-73.379006667,94.0
3995,160108,7,Selva,8,Área de Empadronamiento Rural simple,-3.624755,-73.327493333,110.0
3996,160108,7,Selva,8,Área de Empadronamiento Rural simple,-3.631096667,-73.330711667,104.0
3997,160105,7,Selva,7,Área de Empadronamiento Rural compuesto,-3.478636667,-72.506028333,98.0
3998,160105,7,Selva,7,Área de Empadronamiento Rural compuesto,-3.512196667,-72.496608333,97.0
3999,170101,7,Selva,3,De 50 000 a 99 999 habitantes,-12.60344449,-69.196824691,198.664346825
4000,170101,7,Selva,3,De 50 000 a 99 999 habitantes,-12.594979224,-69.185479056,202.95013881
4001,170101,7,Selva,3,De 50 000 a 99 999 habitantes,-12.580861512,-69.191219944,210.091397441
4002,170101,7,Selva,3,De 50 000 a 99 999 habitantes,-12.601326234,-69.19933793,198.744998402
4003,170103,7,Selva,5,De 2 000 a 19 999 habitantes,-12.582915121,-69.168661885,195.108772473
