vivienda_key,tipo_vivienda_cod,tipo_vivienda,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,tenencia_vivienda_cod,tenencia_vivienda
103,1.0,Casa independiente,3.0,Adobe,7.0,Otro material,3.0,Tejas,2,Propia totalmente pagada
104,1.0,Casa independiente,7.0,Madera,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
105,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,8.0,Otro material,6,Cedida por otro hogar o institución
106,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
107,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
108,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,5.0,Cemento,8.0,Otro material,1,Alquilada
109,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,3.0,"Losetas, terrazos o similares",1.0,Concreto armado,1,Alquilada
110,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,5.0,Caña o estera con torta de barro o cemento,6,Cedida por otro hogar o institución
111,1.0,Casa independiente,6.0,Piedra con barro,5.0,Cemento,3.0,Tejas,2,Propia totalmente pagada
112,1.0,Casa independiente,6.0,Piedra con barro,6.0,Tierra,3.0,Tejas,2,Propia totalmente pagada
113,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,3.0,Tejas,1,Alquilada
114,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,1.0,Concreto armado,2,Propia totalmente pagada
115,1.0,Casa independiente,7.0,Madera,7.0,Otro material,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
116,1.0,Casa independiente,7.0,Madera,6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",3,Propia por invasión
117,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,2,Propia totalmente pagada
118,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",1.0,Concreto armado,1,Alquilada
119,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,2,Propia totalmente pagada
120,4.0,Vivienda en casa de vecindad,3.0,Adobe,4.0,Madera,3.0,Tejas,1,Alquilada
121,4.0,Vivienda en casa de vecindad,3.0,Adobe,3.0,"Losetas, terrazos o similares",3.0,Tejas,1,Alquilada
122,4.0,Vivienda en casa de vecindad,3.0,Adobe,5.0,Cemento,3.0,Tejas,6,Cedida por otro hogar o institución
123,4.0,Vivienda en casa de vecindad,3.0,Adobe,4.0,Madera,3.0,Tejas,2,Propia totalmente pagada
124,1.0,Casa independiente,3.0,Adobe,4.0,Madera,3.0,Tejas,6,Cedida por otro hogar o institución
125,1.0,Casa independiente,3.0,Adobe,4.0,Madera,3.0,Tejas,2,Propia totalmente pagada
126,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
127,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,2.0,Madera,2,Propia totalmente pagada
128,1.0,Casa independiente,3.0,Adobe,2.0,"Láminas asfálticas, vinílicos o similares",3.0,Tejas,1,Alquilada
129,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,3.0,Tejas,1,Alquilada
